지점,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
경기북부,21.75714285714286,25.24285714285714,23.042857142857144,26.428571428571427,26.814285714285717,28.157142857142862,27.700000000000006,27.071428571428573,19.871428571428574,22.928571428571427,22.4,19.900000000000002,19.371428571428574,18.114285714285717,13.042857142857143,14.87142857142857,13.414285714285713,5.128571428571428,8.514285714285714,6.75,3.842857142857144,0.37142857142857144,0.7142857142857144,-2.4285714285714284,2.4,-2.7285714285714286,-0.6142857142857144,-0.7428571428571429,-6.285714285714286,-7.685714285714285,-4.9,-2.6999999999999997,-3.214285714285715,-1.6,0.5142857142857143,0.42857142857142855,3.4999999999999996,5.9,5.628571428571428,8.185714285714285,12.3,12.22857142857143,12.042857142857143,16.0,15.271428571428572,15.700000000000001,17.900000000000002,18.771428571428572,18.271428571428576,19.685714285714283,22.057142857142857,22.914285714285718,24.685714285714287,25.014285714285712,25.75714285714286,26.185714285714287,25.857142857142854,26.37142857142857,23.328571428571426,24.214285714285715,19.057142857142857,20.214285714285715,19.842857142857145,18.414285714285715,18.74285714285714,15.27142857142857,16.54285714285714,11.760000000000002,11.657142857142857,10.242857142857142,7.985714285714286,2.9,-2.242857142857143,-1.05,-2.7428571428571433,-7.099999999999999,-7.257142857142857,-2.9857142857142853,-4.3428571428571425,-6.714285714285714,-2.471428571428572,-8.071428571428571,-10.542857142857143,-9.942857142857141,-3.7142857142857144,-2.457142857142857,0.14285714285714282,3.1142857142857143,6.742857142857143,4.628571428571428,8.185714285714285,12.185714285714285,7.057142857142858,9.471428571428573,12.342857142857142,13.614285714285714,14.483333333333333,16.45714285714286,15.328571428571427,18.642857142857142,20.4,19.285714285714285,20.785714285714285,21.95714285714286,23.4,21.7,25.528571428571432,28.071428571428573,29.47142857142857,28.828571428571426,28.071428571428577,24.77142857142857,23.557142857142853,22.371428571428567,19.599999999999998,20.400000000000002,16.6,14.428571428571429,12.557142857142855,9.9,9.842857142857142,6.242857142857143,9.271428571428572,6.914285714285714,3.014285714285714,1.7285714285714289,2.5714285714285707,-6.0,-3.0428571428571423,-2.1571428571428575,-9.228571428571428,-5.614285714285714,-2.9,-2.8142857142857145,-3.0142857142857147,-0.9000000000000001,-4.971428571428571,-1.8,2.7428571428571433,4.985714285714286,3.1999999999999997,4.357142857142857,5.985714285714286,5.328571428571428,8.442857142857143,9.700000000000001,14.657142857142857,12.014285714285714,14.828571428571427,17.142857142857142,18.514285714285716,19.142857142857142,18.957142857142856,19.200000000000003,20.400000000000002,22.471428571428568,22.74285714285714,23.057142857142857,23.514285714285716,26.0,25.816666666666666
서울,23.25714285714286,27.34285714285715,25.3,28.314285714285713,28.457142857142856,30.28571428571429,29.671428571428574,29.271428571428572,21.58571428571429,24.585714285714285,24.185714285714283,22.257142857142856,21.657142857142862,20.62857142857143,15.414285714285715,17.728571428571428,15.228571428571426,7.242857142857143,9.471428571428572,9.657142857142857,5.757142857142858,2.6285714285714286,2.8857142857142857,-0.28571428571428575,4.442857142857143,-1.6571428571428573,2.0285714285714285,1.1857142857142857,-4.071428571428571,-5.757142857142858,-2.9,-1.0857142857142859,-0.8428571428571424,-0.2,3.071428571428572,2.3,6.499999999999999,8.914285714285715,8.1,10.642857142857142,14.042857142857143,14.342857142857143,14.657142857142857,19.157142857142862,17.585714285714285,17.614285714285717,20.9,21.642857142857146,20.571428571428573,22.0,25.071428571428573,25.071428571428573,25.985714285714288,26.199999999999996,27.342857142857145,28.21428571428571,27.87142857142857,28.75714285714286,25.1,26.057142857142857,22.17142857142857,22.900000000000002,22.6,21.714285714285715,22.17142857142857,18.657142857142855,19.228571428571428,15.614285714285714,15.414285714285716,13.37142857142857,10.971428571428572,5.871428571428572,0.7714285714285715,2.2285714285714286,0.01428571428571417,-4.985714285714286,-3.671428571428571,-0.3571428571428571,-1.3285714285714287,-4.014285714285714,0.1142857142857142,-5.157142857142857,-7.3428571428571425,-7.3,-1.4285714285714286,-0.2,2.8857142857142857,5.428571428571429,9.328571428571427,5.942857142857143,11.0,14.514285714285714,8.971428571428572,12.0,14.785714285714283,16.17142857142857,16.685714285714287,18.67142857142857,17.485714285714288,20.942857142857143,23.24285714285714,21.71428571428571,22.94285714285714,24.242857142857144,24.800000000000004,24.11428571428571,28.17142857142857,30.74285714285714,31.900000000000002,30.714285714285715,30.87142857142857,28.27142857142857,24.242857142857144,24.4,22.38571428571429,22.057142857142857,19.042857142857144,17.6,14.728571428571428,13.057142857142859,13.2,8.328571428571427,11.728571428571428,9.785714285714286,5.842857142857142,4.457142857142857,5.285714285714286,-4.171428571428572,0.6857142857142856,0.2285714285714288,-6.242857142857143,-2.485714285714286,0.0857142857142855,0.7714285714285715,-0.4285714285714287,1.114285714285714,-3.2428571428571433,0.1571428571428572,5.914285714285714,8.214285714285714,6.057142857142857,7.228571428571429,7.228571428571429,6.828571428571428,10.100000000000003,12.457142857142857,16.47142857142857,13.557142857142859,16.9,20.314285714285713,20.142857142857146,21.12857142857143,21.285714285714285,20.985714285714288,21.928571428571427,24.728571428571428,24.214285714285715,25.52857142857143,25.057142857142857,27.042857142857144,26.833333333333332
인천,22.542857142857144,25.67142857142857,24.742857142857144,27.15714285714285,27.328571428571426,28.928571428571423,28.642857142857142,28.78571428571428,22.3,24.214285714285715,23.914285714285715,22.32857142857143,21.557142857142857,20.571428571428573,15.342857142857143,17.771428571428572,15.657142857142855,7.942857142857143,9.814285714285715,10.414285714285715,6.014285714285713,3.8000000000000003,4.185714285714285,0.32857142857142857,5.614285714285714,-1.2857142857142858,3.4285714285714284,2.1,-2.9857142857142853,-4.557142857142858,-2.4714285714285715,-0.4999999999999999,0.02857142857142834,-0.15714285714285717,3.1,2.4714285714285715,5.857142857142856,7.8999999999999995,7.257142857142857,9.714285714285714,12.22857142857143,12.971428571428572,13.27142857142857,16.785714285714285,16.014285714285716,16.114285714285714,19.0,19.542857142857144,19.6,20.3,22.699999999999996,23.728571428571428,24.642857142857142,25.285714285714285,26.014285714285716,27.042857142857144,27.271428571428572,28.157142857142855,24.78571428571429,25.514285714285716,21.82857142857143,22.67142857142857,22.45714285714286,21.7,21.642857142857142,17.885714285714286,18.228571428571424,15.057142857142859,15.0,13.171428571428573,10.985714285714284,6.457142857142857,1.6142857142857143,2.1142857142857143,0.7285714285714285,-4.157142857142857,-2.7142857142857144,-0.02857142857142831,-1.042857142857143,-3.814285714285714,-0.042857142857143024,-5.128571428571428,-6.828571428571429,-6.957142857142857,-1.4999999999999998,-0.41428571428571426,2.1571428571428575,4.757142857142857,7.985714285714286,5.771428571428572,8.685714285714285,13.071428571428571,8.314285714285715,11.071428571428571,13.857142857142856,14.7,15.757142857142858,17.099999999999998,16.97142857142857,19.014285714285712,20.728571428571428,20.41428571428571,21.0,22.300000000000004,23.97142857142857,24.11428571428571,26.17142857142857,28.75714285714286,30.528571428571432,29.657142857142855,30.485714285714288,27.4,24.199999999999996,24.514285714285712,22.32857142857143,21.8,19.45714285714286,18.17142857142857,15.557142857142855,13.614285714285716,13.985714285714286,9.5,12.128571428571428,10.0,6.6,5.728571428571429,5.585714285714286,-3.571428571428572,1.5285714285714287,0.21428571428571427,-5.542857142857143,-2.2142857142857144,0.1714285714285714,1.5,-0.32857142857142857,1.4857142857142858,-3.528571428571429,0.21428571428571436,4.9142857142857155,6.871428571428572,5.542857142857143,6.757142857142857,6.5857142857142845,6.528571428571428,9.742857142857142,11.62857142857143,14.614285714285716,12.885714285714286,14.757142857142856,17.842857142857138,18.52857142857143,19.785714285714285,19.285714285714285,20.357142857142858,21.042857142857144,23.342857142857138,22.542857142857144,25.028571428571432,24.185714285714287,26.12857142857143,26.0
경기남부,23.32857142857143,26.514285714285712,25.171428571428574,28.428571428571427,28.214285714285715,29.428571428571427,29.17142857142857,29.485714285714284,21.82857142857143,24.542857142857144,23.7,21.599999999999998,21.300000000000004,20.357142857142858,15.057142857142855,16.714285714285715,15.000000000000002,7.357142857142857,9.842857142857142,9.428571428571429,6.442857142857143,3.0714285714285716,2.9714285714285715,0.15714285714285708,4.728571428571429,-0.7571428571428572,2.185714285714286,1.7999999999999996,-4.028571428571429,-5.4142857142857155,-2.1999999999999997,-0.5428571428571429,-0.8571428571428571,0.48571428571428565,2.5285714285714285,2.3857142857142857,5.685714285714285,7.6571428571428575,7.2714285714285705,10.257142857142856,13.028571428571428,13.742857142857144,13.828571428571427,17.842857142857145,16.757142857142856,16.82857142857143,19.685714285714287,20.442857142857147,19.785714285714285,21.2,23.885714285714283,24.171428571428574,25.542857142857144,26.08571428571429,26.62857142857143,27.857142857142858,27.12857142857143,28.12857142857143,24.87142857142857,25.757142857142856,21.857142857142854,22.25714285714286,21.75714285714286,20.757142857142856,21.471428571428568,17.685714285714287,18.32857142857143,14.714285714285717,14.057142857142855,12.142857142857142,10.400000000000002,5.92857142857143,1.2714285714285716,2.8000000000000003,0.3571428571428571,-3.9714285714285715,-2.8428571428571425,-0.3714285714285714,-0.9571428571428573,-3.557142857142857,-0.1285714285714283,-4.757142857142857,-6.57142857142857,-6.871428571428571,-1.6714285714285713,-0.35714285714285715,2.8285714285714287,5.657142857142857,8.828571428571427,6.142857142857143,10.4,14.014285714285716,9.428571428571429,11.37142857142857,14.385714285714284,15.685714285714287,16.24285714285714,18.62857142857143,17.657142857142855,19.728571428571428,21.928571428571423,21.74285714285714,22.314285714285713,23.82857142857143,24.699999999999996,24.614285714285717,27.61428571428571,29.95714285714286,31.014285714285712,30.257142857142856,31.042857142857144,27.685714285714287,24.257142857142856,24.27142857142857,22.042857142857144,21.457142857142856,18.599999999999998,17.242857142857144,14.614285714285714,12.12857142857143,12.028571428571427,8.657142857142858,11.514285714285716,9.285714285714286,6.000000000000001,4.8,5.728571428571429,-3.5000000000000004,0.08571428571428573,0.514285714285714,-5.8999999999999995,-2.771428571428571,-0.17142857142857146,0.2,-0.4,1.1285714285714286,-2.542857142857143,-0.05714285714285705,4.557142857142857,6.700000000000001,5.671428571428572,6.828571428571428,7.071428571428571,6.642857142857143,9.914285714285713,11.671428571428573,16.1,12.6,15.657142857142857,18.942857142857147,19.385714285714283,20.514285714285716,20.599999999999998,20.914285714285715,21.642857142857142,24.2,23.642857142857142,25.357142857142858,24.928571428571427,27.114285714285717,27.349999999999998
창원,24.614285714285717,26.057142857142857,25.0,27.857142857142858,28.2,28.485714285714288,29.442857142857143,28.185714285714287,23.014285714285712,23.45714285714286,22.95714285714286,20.771428571428572,21.771428571428572,21.457142857142856,16.957142857142856,17.87142857142857,16.414285714285715,10.257142857142856,11.37142857142857,12.5,10.071428571428573,5.957142857142856,6.5,5.3428571428571425,6.757142857142858,3.557142857142857,5.171428571428572,4.857142857142857,0.41428571428571426,-0.7857142857142857,2.9571428571428577,4.057142857142858,2.6714285714285713,5.6,5.514285714285714,5.485714285714286,8.67142857142857,9.614285714285716,8.357142857142858,12.142857142857142,14.599999999999998,16.342857142857145,15.242857142857142,17.714285714285715,18.485714285714288,18.928571428571427,21.085714285714285,22.02857142857143,20.314285714285717,21.642857142857146,22.62857142857143,23.157142857142855,25.700000000000006,26.771428571428572,27.985714285714288,27.95714285714286,27.25714285714286,30.17142857142857,25.814285714285717,27.7,25.300000000000004,22.571428571428566,23.35714285714286,22.328571428571426,21.75714285714286,19.357142857142858,20.285714285714285,16.95714285714286,15.871428571428572,14.328571428571431,13.242857142857144,10.357142857142858,5.6571428571428575,8.52857142857143,2.9428571428571426,0.285714285714286,1.0999999999999999,2.6,3.1,0.3857142857142856,2.1285714285714286,0.04285714285714283,-2.2,-3.157142857142857,2.942857142857143,4.357142857142857,6.885714285714285,6.514285714285714,10.242857142857144,6.014285714285713,12.757142857142856,14.157142857142857,12.6,13.457142857142857,15.314285714285715,16.742857142857144,15.799999999999999,19.642857142857142,17.37142857142857,20.54285714285714,21.7,19.842857142857145,21.485714285714288,23.62857142857143,23.671428571428574,23.014285714285712,28.571428571428573,29.74285714285714,29.642857142857142,29.342857142857145,28.014285714285712,26.38571428571429,26.071428571428573,23.442857142857143,21.428571428571427,22.371428571428574,19.514285714285712,18.11428571428571,17.47142857142857,14.385714285714284,14.642857142857142,11.87142857142857,13.085714285714285,11.87142857142857,8.871428571428572,6.700000000000001,9.557142857142855,-0.15714285714285706,3.185714285714286,4.428571428571429,-1.614285714285714,1.8714285714285714,2.842857142857142,3.814285714285714,2.257142857142857,4.571428571428571,1.8428571428571427,3.542857142857143,8.1,9.642857142857142,7.628571428571429,10.142857142857142,9.228571428571428,9.357142857142858,11.571428571428571,13.514285714285714,15.214285714285712,13.314285714285713,16.6,19.185714285714287,19.214285714285715,21.485714285714288,20.985714285714288,19.12857142857143,21.02857142857143,21.800000000000004,23.228571428571428,22.94285714285714,22.97142857142857,25.271428571428572,27.28333333333333
부산,23.057142857142853,25.24285714285714,24.47142857142857,27.071428571428573,28.171428571428574,29.228571428571428,29.785714285714285,28.428571428571427,23.142857142857146,24.47142857142857,23.5,21.285714285714285,22.671428571428574,22.028571428571432,18.228571428571428,19.457142857142856,17.514285714285712,11.971428571428572,13.114285714285714,14.557142857142859,12.185714285714285,7.9142857142857155,8.628571428571428,6.957142857142856,9.057142857142857,5.342857142857143,6.7,5.8999999999999995,1.9428571428571428,0.5857142857142856,4.828571428571429,5.4,4.2,7.2857142857142865,6.728571428571429,6.657142857142857,9.485714285714286,10.700000000000001,9.12857142857143,12.6,14.328571428571431,15.87142857142857,15.214285714285714,17.599999999999998,18.557142857142857,18.042857142857144,20.814285714285713,19.85714285714286,19.414285714285715,20.8,21.557142857142857,22.928571428571427,24.471428571428568,25.271428571428572,26.942857142857143,26.857142857142858,27.0,29.628571428571433,25.528571428571432,27.27142857142857,25.35714285714286,22.82857142857143,23.742857142857144,22.357142857142858,22.24285714285714,19.914285714285715,20.985714285714284,17.242857142857144,16.514285714285712,15.62857142857143,14.685714285714285,11.628571428571428,7.1571428571428575,10.242857142857144,4.771428571428571,1.6714285714285715,2.514285714285714,4.242857142857142,4.342857142857143,2.142857142857143,4.314285714285714,1.5285714285714282,-0.6714285714285715,-2.0714285714285716,4.1,5.757142857142858,8.242857142857144,7.528571428571429,10.885714285714284,6.799999999999999,14.014285714285714,14.399999999999997,12.785714285714286,13.985714285714286,15.200000000000001,16.614285714285714,14.914285714285715,19.585714285714285,17.014285714285712,20.628571428571426,21.58571428571429,19.75714285714286,21.514285714285712,23.157142857142855,23.38571428571429,22.642857142857142,27.67142857142857,29.614285714285717,29.628571428571433,29.414285714285715,28.342857142857138,26.871428571428574,26.6,24.042857142857148,21.857142857142858,22.985714285714288,20.62857142857143,18.771428571428572,18.428571428571427,16.114285714285717,16.357142857142858,13.0,15.385714285714286,13.471428571428572,10.72857142857143,10.085714285714287,12.042857142857143,2.0,5.8999999999999995,7.071428571428571,0.3857142857142856,4.228571428571429,4.928571428571429,5.571428571428571,4.3428571428571425,7.114285714285714,3.771428571428572,5.542857142857143,9.985714285714284,10.942857142857141,9.057142857142857,11.514285714285714,10.457142857142856,10.314285714285715,12.12857142857143,14.528571428571427,15.757142857142856,14.257142857142854,17.928571428571427,20.04285714285714,19.157142857142855,20.957142857142856,21.400000000000002,18.9,21.500000000000004,21.657142857142862,22.785714285714285,23.0,23.357142857142858,24.87142857142857,26.88333333333333
