지점,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
경기북부,70.55,0.1,12.525,6.26,5.933333333333334,0.0,2.8,4.366666666666667,4.133333333333333,2.2,0.0,0.1,9.850000000000001,103.35,1.45,0.9,9.450000000000001,1.425,1.15,1.9000000000000001,0.15000000000000002,0.85,3.0666666666666664,3.6,16.333333333333332,0.15000000000000002,0.0,0.0,0.4,1.5666666666666664,3.85,1.9,2.1,3.125,2.4499999999999997,0.1,0.0,0.0,0.05,9.25,0.35,7.95,0.0,0.0,5.4,7.8,17.7,0.1,8.366666666666667,1.0666666666666667,0.0,3.5749999999999997,17.375,27.72,14.125,12.14,19.55,4.6,22.759999999999998,37.339999999999996,2.766666666666667,0.7,10.0,1.5,0.06666666666666667,0.8,4.5,0.0,0.0,0.3,0.45,3.95,0.42500000000000004,1.5,0.8,3.45,1.3,11.6,0.3,0.2,0.4666666666666666,4.3,0.0,0.5,0.0,1.7,9.133333333333335,7.074999999999999,4.9,0.7000000000000001,0.0,10.466666666666667,4.533333333333333,9.7,22.566666666666666,10.600000000000001,24.1,27.8,7.933333333333334,0.05,0.0,8.879999999999999,0.1,27.900000000000002,14.660000000000002,15.700000000000001,0.0,0.0,0.1,28.233333333333334,9.025,1.75,1.7,9.566666666666668,0.25,0.9199999999999999,5.533333333333334,0.4,20.433333333333334,0.0,11.7,9.533333333333333,18.8,0.0,2.15,8.6,4.55,0.9,1.2,0.0,0.0,0.0,0.0,0.0,0.2,9.15,0.0,1.6666666666666667,0.0,0.0,0.06666666666666667,7.733333333333333,0.0,1.05,3.875,1.5,3.2,3.65,0.0,0.0,14.65,3.9,4.2,16.8,7.866666666666667,0.0,0.4,4.2,14.1,4.6,39.160000000000004
서울,40.416666666666664,0.775,12.675,0.425,15.55,1.0,0.2333333333333333,4.066666666666666,7.8,3.1666666666666665,2.5,7.0,7.0,12.5,4.0,1.5,13.166666666666666,0.275,1.28,2.0,0.06666666666666667,1.2666666666666666,1.5,1.55,13.15,0.22499999999999998,0.15,0.0,0.3,1.5999999999999999,2.533333333333333,0.5,0.0,2.65,2.75,0.16666666666666666,0.0,0.0,0.4,10.75,0.3333333333333333,4.775,0.0,0.0,1.6666666666666667,3.0,2.55,0.0,7.0,1.5333333333333332,0.0,8.5,38.9,33.166666666666664,15.0,35.125,3.5,3.25,16.333333333333332,29.166666666666668,4.5,1.0,12.25,8.0,0.125,2.75,4.18,0.1,0.0,1.0,0.5,6.0,0.425,6.125,1.0799999999999998,4.1,1.2,10.0,0.5666666666666667,0.5666666666666667,0.12000000000000002,3.3,1.45,0.5,0.0,0.4,9.733333333333333,3.9,27.0,0.8333333333333334,0.0,9.700000000000001,3.675,9.0,25.833333333333332,4.333333333333333,22.0,32.1,8.5,0.5,0.0,5.833333333333333,16.5,33.0,27.433333333333334,8.625,0.0,0.0,7.5,3.5,2.3333333333333335,2.6666666666666665,29.5,11.866666666666667,0.5,1.3333333333333333,8.166666666666666,0.0,24.75,0.0,5.0,3.3,33.0,0.3333333333333333,0.6,5.45,4.833333333333333,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,1.75,0.0,0.0,0.0,7.766666666666667,1.7,0.9,5.949999999999999,0.85,3.38,2.45,0.0,0.0,10.233333333333333,3.55,7.5,15.766666666666666,4.025,0.5333333333333333,0.5,3.8000000000000003,3.675,3.016666666666667,25.03333333333333
인천,35.76666666666667,1.15,16.166666666666668,0.375,11.200000000000001,0.0,0.0,1.95,5.65,8.05,0.06666666666666667,7.6,5.3,10.633333333333333,4.4,1.5,11.700000000000001,0.575,0.6000000000000001,3.6999999999999997,0.06666666666666667,0.9000000000000001,3.8333333333333335,0.6,13.424999999999999,0.325,0.2,0.1,0.2,3.0333333333333337,5.25,0.85,0.1,3.5749999999999997,4.25,0.4,0.0,0.0,0.0,14.266666666666666,0.2,3.65,0.0,0.0,3.033333333333333,8.1,2.2,0.5,9.266666666666666,0.5333333333333333,0.0,6.466666666666666,30.925,21.933333333333334,20.279999999999998,22.349999999999998,8.200000000000001,1.5999999999999999,22.733333333333334,19.4,5.85,0.95,9.5,0.7,0.0,2.5999999999999996,5.533333333333332,0.0,0.0,0.5,0.0,1.5333333333333332,0.7749999999999999,11.333333333333334,1.34,2.466666666666667,0.85,7.0,0.5333333333333333,0.4666666666666666,0.22499999999999998,1.6,0.3,0.3,0.2,1.3,8.700000000000001,5.24,46.6,1.5666666666666667,0.0,7.074999999999999,3.8666666666666667,6.0,22.099999999999998,0.8400000000000001,10.35,21.18,8.5,1.3,0.0,9.879999999999999,1.3,30.96666666666667,22.5,9.175,0.0,0.0,0.0,0.0,2.0,7.675,30.03333333333333,6.633333333333333,1.7,0.6333333333333333,6.8999999999999995,0.0,21.7,0.6,6.8,4.4,26.05,0.16666666666666666,2.2,4.8,4.133333333333333,3.6,0.6,0.0,0.0,0.0,0.35,0.0,0.0,6.5,0.0,2.3666666666666667,0.0,0.0,0.1,7.533333333333332,2.6,1.55,6.233333333333333,1.2,3.46,1.35,0.0,0.0,7.566666666666667,5.25,5.9,10.066666666666666,1.8333333333333333,0.45,2.4,1.9000000000000001,12.15,3.9799999999999995,24.75
경기남부,31.400000000000006,1.9666666666666668,18.066666666666666,1.3250000000000002,21.3,0.0,0.09999999999999999,0.075,24.133333333333336,9.966666666666667,0.0,8.866666666666667,3.766666666666667,7.666666666666667,19.25,1.05,11.4,0.6,1.1666666666666665,2.3000000000000003,0.6666666666666666,1.3,1.075,0.55,18.533333333333335,0.6000000000000001,0.6,0.525,0.2,1.45,3.5,0.65,0.43333333333333335,4.975,3.25,0.65,0.0,0.0,0.0,9.3,0.2333333333333333,3.95,0.0,0.0,1.95,1.85,5.5,0.0,6.05,0.26666666666666666,0.0,3.675,48.825,20.7,30.98,17.759999999999998,40.699999999999996,5.15,11.316666666666668,47.99999999999999,15.2,0.65,7.85,7.8,0.65,5.8,4.275,0.0,0.0,0.0,0.8000000000000002,5.866666666666666,0.725,2.94,1.3,7.6,0.575,4.25,1.9,1.2,0.34,1.05,0.5,0.4,1.45,0.05,9.533333333333333,5.94,46.5,2.3000000000000003,0.0,17.700000000000003,2.625,9.6,24.433333333333334,1.3666666666666665,22.7,21.599999999999998,8.466666666666667,7.300000000000001,0.0,1.04,0.3,32.93333333333333,33.78333333333333,3.72,0.1,0.0,4.0,0.3333333333333333,2.8,4.7,34.083333333333336,8.433333333333332,1.0,2.4166666666666665,7.266666666666667,0.1,35.4,3.8,5.9,2.7833333333333337,32.85,0.0,5.4,7.0,5.325,1.35,0.0,0.1,0.0,0.0,0.03333333333333333,0.0,0.4,5.675,0.0,2.675,0.0,0.0,2.7,10.066666666666668,1.5,2.6,5.2250000000000005,0.3,3.9200000000000004,0.8333333333333334,0.0,0.0,6.233333333333333,4.0,10.7,16.666666666666668,0.8,0.10000000000000002,1.15,4.066666666666666,1.2666666666666666,5.9,29.080000000000002
창원,27.649999999999995,2.566666666666667,4.5,1.85,17.825,0.0,0.3,0.0,7.619999999999999,48.650000000000006,3.9,43.025,8.1,26.316666666666666,15.25,40.6,0.4,1.65,0.0,3.75,7.966666666666668,1.85,0.0,0.0,29.25,9.9,0.0,1.45,0.0,0.0,2.15,2.3,4.0,7.9,0.6666666666666666,0.0,0.0,3.5,2.1799999999999997,24.049999999999997,5.3,3.6,1.7,0.1,8.1,2.0,0.7,0.0,5.633333333333333,0.0,7.0,9.266666666666666,20.3,1.7599999999999998,2.6999999999999997,19.45,1.275,3.1333333333333333,6.766666666666667,29.650000000000002,0.0,11.0,61.9,0.0,9.9,11.92,9.649999999999999,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.2,0.0,0.7999999999999999,8.1,0.0,0.0,0.0,0.0,0.0,16.3,16.675,73.1,9.239999999999998,0.0,6.45,4.1,14.0,19.3,2.1999999999999997,25.5,8.924999999999999,9.475,6.8999999999999995,3.4,8.925,3.4,29.35,26.316666666666663,4.75,0.0,0.0,3.3666666666666667,7.7,9.45,5.15,19.057142857142857,23.933333333333334,6.7,12.274999999999999,28.0,2.35,35.425,0.0,0.0,0.7000000000000001,10.15,1.5,0.0,0.4,5.050000000000001,2.4,0.75,1.4,0.0,0.0,1.5,0.35,4.6,7.25,0.0,10.5,0.0,1.6,6.933333333333334,10.333333333333334,0.0,1.3,6.65,0.65,5.466666666666666,12.475,2.8,0.1,15.25,21.233333333333334,10.950000000000001,4.325,3.533333333333333,60.4,23.4,6.633333333333334,5.32,39.88000000000001,4.95
부산,25.966666666666665,4.48,9.8,0.8,2.0,0.0,37.55,0.45,14.875000000000002,22.542857142857144,8.233333333333333,25.48,16.95,25.34,19.75,19.400000000000002,0.36,2.9,1.9500000000000002,3.9,9.933333333333334,3.733333333333334,0.0,0.0,19.75,12.4,0.7,2.3,0.0,0.0,3.35,1.2750000000000001,0.4666666666666666,9.0,5.033333333333333,0.0,0.0,4.4,3.025,10.05,7.75,12.566666666666668,3.9,0.1,9.100000000000001,5.9,0.0,0.0,6.266666666666667,0.0,9.4,7.066666666666667,24.150000000000002,2.42,4.0,2.4000000000000004,2.7,4.866666666666666,7.82,5.76,0.0,15.133333333333335,264.1,3.6,18.3,22.22,5.233333333333333,2.5749999999999997,1.2,0.0,0.0,0.0,0.15,0.0,0.0,0.2,0.0,10.4,0.0,1.8750000000000002,11.033333333333333,0.3,0.0,0.0,0.2,0.0,26.15,18.525,62.0,14.0,0.0,2.95,10.6,34.1,31.73333333333333,5.666666666666667,36.35,7.85,11.200000000000001,0.55,5.7,19.05,2.433333333333333,35.05,28.500000000000007,2.3000000000000003,0.0,0.0,0.55,4.766666666666667,5.24,2.7,17.759999999999998,30.166666666666668,8.066666666666666,15.125,14.799999999999999,12.975,29.675,0.0,0.0,1.95,101.2,1.2666666666666666,0.0,2.3,12.049999999999999,2.8,4.4,1.2,0.0,0.0,0.7,0.35,11.3,10.7,0.0,10.033333333333333,0.0,0.55,9.933333333333334,14.466666666666669,0.0,1.1,9.466666666666667,1.25,7.833333333333335,10.200000000000001,0.0,0.0,11.65,28.4,14.55,22.85,3.4666666666666663,74.5,30.400000000000002,13.200000000000001,13.766666666666666,53.67999999999999,3.1999999999999997
